,val_acc
464,0.1301
465,0.128
466,0.1279
467,0.1278
468,0.1278
469,0.1277
470,0.128
471,0.1283
472,0.1275
473,0.1273
474,0.1282
475,0.1281
476,0.1274
477,0.1274
478,0.1273
479,0.1288
480,0.1273
481,0.1269
482,0.1267
483,0.1265
484,0.1258
485,0.1258
486,0.1262
487,0.1258
488,0.1262
489,0.1264
490,0.1267
491,0.1267
492,0.1263
493,0.1267
494,0.1272
495,0.1268
496,0.1269
497,0.1261
498,0.126
499,0.1252
500,0.1267
501,0.1273
502,0.1268
503,0.1275
504,0.1264
505,0.1263
506,0.1262
507,0.1259
508,0.1255
509,0.1257
510,0.1255
511,0.1253
512,0.1253
513,0.1253
514,0.126
515,0.1257
516,0.1258
517,0.1267
518,0.1257
519,0.1254
520,0.1244
521,0.1243
522,0.1248
523,0.1246
524,0.125
525,0.1249
526,0.1253
527,0.1248
528,0.124
529,0.1241
530,0.1251
531,0.1254
532,0.1263
533,0.1261
534,0.1257
535,0.1263
536,0.1259
537,0.1263
538,0.1271
539,0.1267
540,0.1264
541,0.1257
542,0.1246
543,0.1247
544,0.1255
545,0.1247
546,0.1241
547,0.1232
548,0.1234
549,0.1237
550,0.1255
551,0.1247
552,0.1244
553,0.1237
554,0.1244
555,0.124
556,0.1247
557,0.1234
558,0.1233
559,0.1234
560,0.1246
561,0.1253
562,0.1254
563,0.1259
564,0.1253
565,0.1252
566,0.1253
567,0.1252
568,0.1256
569,0.1263
570,0.1269
571,0.1273
572,0.1269
573,0.1269
574,0.1266
575,0.1263
576,0.1255
577,0.1264
578,0.1268
579,0.1261
580,0.127
581,0.1271
582,0.1276
583,0.128
584,0.1288
585,0.1279
586,0.1285
587,0.1292
588,0.1289
589,0.1288
590,0.1291
591,0.1285
592,0.1288
593,0.1284
594,0.1286
595,0.1295
596,0.1293
597,0.1287
598,0.1284
599,0.1278
600,0.1282
601,0.1282
602,0.128
603,0.1284
604,0.1285
605,0.1279
606,0.1277
607,0.1271
608,0.1275
609,0.1275
610,0.1275
611,0.1269
612,0.1275
613,0.1274
614,0.1273
615,0.1263
616,0.1275
617,0.1267
618,0.1273
619,0.1275
620,0.1276
621,0.1284
622,0.1282
623,0.1277
624,0.1283
625,0.1276
626,0.1272
627,0.1264
628,0.1263
629,0.1257
630,0.1256
631,0.1264
632,0.1268
633,0.1273
634,0.1268
635,0.1276
636,0.1284
637,0.1286
638,0.1289
639,0.1296
640,0.1294
641,0.1274
642,0.1275
643,0.1273
644,0.1273
645,0.1262
646,0.1263
647,0.1272
648,0.1267
649,0.127
650,0.1266
651,0.1264
652,0.1264
653,0.1263
654,0.1267
655,0.127
656,0.1269
657,0.1272
658,0.1272
659,0.1278
