,val_acc
462,0.1295
463,0.1294
464,0.1293
465,0.1293
466,0.1293
467,0.1289
468,0.1284
469,0.1282
470,0.1279
471,0.1276
472,0.1276
473,0.1275
474,0.1275
475,0.1275
476,0.1276
477,0.1276
478,0.1274
479,0.1274
480,0.1269
481,0.1267
482,0.127
483,0.1269
484,0.1268
485,0.1269
486,0.1268
487,0.1269
488,0.1265
489,0.1267
490,0.1269
491,0.1269
492,0.1266
493,0.1264
494,0.1261
495,0.126
496,0.1262
497,0.1263
498,0.1266
499,0.1266
500,0.1265
501,0.1267
502,0.1264
503,0.1265
504,0.1269
505,0.1267
506,0.1268
507,0.1267
508,0.1267
509,0.1263
510,0.1262
511,0.1262
512,0.1263
513,0.1259
514,0.1263
515,0.1262
516,0.126
517,0.1262
518,0.1262
519,0.1263
520,0.126
521,0.1256
522,0.1255
523,0.126
524,0.1258
525,0.1257
526,0.1261
527,0.1259
528,0.1256
529,0.1251
530,0.1249
531,0.1251
532,0.1251
533,0.1253
534,0.1256
535,0.1255
536,0.1255
537,0.1258
538,0.1259
539,0.1261
540,0.1264
541,0.1263
542,0.1262
543,0.126
544,0.1258
545,0.1255
546,0.1252
547,0.125
548,0.1249
549,0.1248
550,0.125
551,0.1249
552,0.1253
553,0.125
554,0.125
555,0.1248
556,0.1245
557,0.1244
558,0.1244
559,0.1244
560,0.1247
561,0.1246
562,0.1248
563,0.125
564,0.1249
565,0.1249
566,0.1247
567,0.1251
568,0.1249
569,0.1251
570,0.1255
571,0.1257
572,0.1257
573,0.126
574,0.126
575,0.1261
576,0.126
577,0.1262
578,0.1263
579,0.1262
580,0.1264
581,0.1266
582,0.1267
583,0.1268
584,0.1269
585,0.1271
586,0.1275
587,0.1273
588,0.1276
589,0.1276
590,0.1275
591,0.1276
592,0.1279
593,0.1282
594,0.1286
595,0.1289
596,0.1293
597,0.1293
598,0.1295
599,0.1288
600,0.1287
601,0.1288
602,0.1291
603,0.1292
604,0.1292
605,0.1286
606,0.1286
607,0.128
608,0.1278
609,0.1279
610,0.1276
611,0.1275
612,0.1273
613,0.1277
614,0.1272
615,0.1268
616,0.127
617,0.1271
618,0.1274
619,0.1272
620,0.1272
621,0.1271
622,0.1272
623,0.1272
624,0.1273
625,0.1277
626,0.1276
627,0.1276
628,0.1276
629,0.1275
630,0.1276
631,0.1277
632,0.1276
633,0.1276
634,0.1273
635,0.1274
636,0.1276
637,0.1276
638,0.1279
639,0.128
640,0.128
641,0.1284
642,0.1283
643,0.1284
644,0.129
645,0.1286
646,0.1286
647,0.1281
648,0.1278
649,0.1276
650,0.1275
651,0.1273
652,0.1272
653,0.1272
654,0.1272
655,0.1271
656,0.1268
657,0.127
658,0.1268
659,0.127
660,0.1269
661,0.1272
662,0.1271
663,0.127
664,0.1271
665,0.1272
666,0.1273
667,0.1277
668,0.1279
669,0.128
670,0.1278
671,0.1279
672,0.1278
673,0.1274
674,0.1276
675,0.1275
676,0.1276
677,0.128
678,0.1281
679,0.1279
680,0.1279
681,0.1283
682,0.1284
683,0.1282
684,0.1285
685,0.1282
686,0.1281
687,0.1286
688,0.1282
689,0.1286
690,0.1287
691,0.1285
692,0.1284
693,0.1282
694,0.1283
695,0.1286
696,0.129
697,0.1288
698,0.1286
699,0.1287
700,0.1289
701,0.1292
702,0.1289
703,0.129
704,0.1291
705,0.1293
706,0.1292
707,0.1291
708,0.1293
709,0.1294
710,0.1294
711,0.1291
712,0.1295
713,0.1296
714,0.1296
715,0.1288
716,0.129
717,0.1287
718,0.1286
719,0.129
720,0.1289
721,0.1291
722,0.1292
723,0.1293
724,0.1293
725,0.1293
726,0.1293
727,0.1289
728,0.129
729,0.129
730,0.1293
731,0.1293
732,0.1295
733,0.1295
734,0.1298
735,0.1298
736,0.1298
737,0.1295
738,0.1293
739,0.1295
740,0.1295
741,0.1296
742,0.1294
743,0.1294
744,0.1295
745,0.1298
746,0.1299
747,0.1298
748,0.1298
749,0.1299
750,0.1302
751,0.1301
752,0.13
753,0.1301
754,0.1301
755,0.13
756,0.1301
757,0.1302
758,0.1302
759,0.1302
760,0.1303
761,0.1304
762,0.1309
763,0.1308
764,0.1307
765,0.1301
766,0.1304
767,0.1308
768,0.1314
769,0.1315
770,0.1323
771,0.1324
772,0.1321
773,0.1321
774,0.1318
775,0.1324
776,0.1326
777,0.1326
778,0.1328
779,0.133
780,0.1331
781,0.1332
